event_id,fatality_type,FATALITY_DATE,fatality_age,fatality_sex,fatality_location
10159476,Direct,06/26/1959,Unknown,Unknown,
10009817,Direct,09/26/1959,Unknown,Unknown,
10025636,Direct,09/27/1959,Unknown,Unknown,
10150861,Direct,09/30/1959,Unknown,Unknown,
9980905,Direct,03/14/1959,Unknown,Unknown,
9980907,Direct,03/14/1959,Unknown,Unknown,
9980910,Direct,03/14/1959,Unknown,Unknown,
9984956,Direct,04/02/1959,Unknown,Unknown,
10069464,Direct,05/30/1959,Unknown,Unknown,
10050393,Direct,06/11/1959,Unknown,Unknown,
