event_id,fatality_type,FATALITY_DATE,fatality_age,fatality_sex,fatality_location
10055208,Direct,07/01/1958,Unknown,Unknown,
10055429,Direct,08/04/1958,Unknown,Unknown,
10040343,Direct,09/07/1958,Unknown,Unknown,
9984944,Direct,10/19/1958,Unknown,Unknown,
10010911,Direct,10/09/1958,Unknown,Unknown,
10049551,Direct,02/26/1958,Unknown,Unknown,
10049557,Direct,02/26/1958,Unknown,Unknown,
10049563,Direct,02/26/1958,Unknown,Unknown,
9977966,Direct,04/05/1958,Unknown,Unknown,
10116556,Direct,04/22/1958,Unknown,Unknown,
10121196,Direct,04/02/1958,Unknown,Unknown,
10009742,Direct,04/05/1958,Unknown,Unknown,
10149030,Direct,06/04/1958,Unknown,Unknown,
