event_id,fatality_type,FATALITY_DATE,fatality_age,fatality_sex,fatality_location
10118701,Direct,03/22/1991,Unknown,Unknown,
10030616,Direct,03/22/1991,Unknown,Unknown,
10016910,Direct,03/27/1991,Unknown,Unknown,
10161610,Direct,03/27/1991,Unknown,Unknown,
10034568,Direct,04/26/1991,Unknown,Unknown,
10034579,Direct,04/26/1991,Unknown,Unknown,
10102353,Direct,04/26/1991,Unknown,Unknown,
10102359,Direct,04/26/1991,Unknown,Unknown,
10080764,Direct,06/12/1991,Unknown,Unknown,
10050642,Direct,07/05/1991,Unknown,Unknown,
10136949,Direct,01/14/1991,Unknown,Unknown,
