event_id,fatality_type,FATALITY_DATE,fatality_age,fatality_sex,fatality_location
10102134,Direct,05/15/1990,Unknown,Unknown,
10097279,Direct,05/04/1990,Unknown,Unknown,
9990364,Direct,05/16/1990,Unknown,Unknown,
10019016,Direct,06/02/1990,Unknown,Unknown,
10019026,Direct,06/02/1990,Unknown,Unknown,
10005779,Direct,06/02/1990,Unknown,Unknown,
10064495,Direct,02/09/1990,Unknown,Unknown,
9990991,Direct,03/14/1990,Unknown,Unknown,
10037680,Direct,03/13/1990,Unknown,Unknown,
10037687,Direct,03/13/1990,Unknown,Unknown,
10110076,Direct,10/22/1990,Unknown,Unknown,
10149470,Direct,10/18/1990,Unknown,Unknown,
10062352,Direct,12/21/1990,Unknown,Unknown,
10062345,Direct,12/21/1990,Unknown,Unknown,
