event_id,fatality_type,FATALITY_DATE,fatality_age,fatality_sex,fatality_location
5639380,Direct,04/27/1998,49,M,Mobile/Trailer Home
5638672,Direct,04/09/1998,51,M,Business
5637197,Direct,04/08/1998,29,M,Mobile/Trailer Home
5637197,Direct,04/08/1998,33,F,Mobile/Trailer Home
5637201,Direct,04/08/1998,76,F,Permanent Home
5637201,Direct,04/08/1998,49,M,Permanent Home
5637201,Direct,04/08/1998,78,M,Permanent Home
5637201,Direct,04/08/1998,89,F,Permanent Home
5637201,Direct,04/08/1998,89,M,Permanent Home
5637201,Direct,04/08/1998,54,F,Permanent Home
5637201,Direct,04/08/1998,27,F,Permanent Home
5637201,Direct,04/08/1998,48,M,Permanent Home
5637201,Direct,04/08/1998,4,M,Permanent Home
5637201,Direct,04/08/1998,7,M,Permanent Home
5637201,Direct,04/08/1998,72,F,Permanent Home
5637201,Direct,04/08/1998,66,F,Permanent Home
5637201,Direct,04/08/1998,72,M,Permanent Home
5637201,Direct,04/08/1998,72,F,Permanent Home
5637201,Direct,04/08/1998,44,M,Mobile/Trailer Home
5637201,Direct,04/08/1998,16,F,Mobile/Trailer Home
5637201,Direct,04/08/1998,37,F,Mobile/Trailer Home
5637201,Direct,04/08/1998,63,F,Permanent Home
5637201,Direct,04/08/1998,61,M,Permanent Home
5637201,Direct,04/08/1998,76,F,Permanent Home
5637201,Direct,04/08/1998,78,M,Permanent Home
5637201,Direct,04/08/1998,77,F,Permanent Home
5637201,Direct,04/08/1998,50,M,Permanent Home
5637201,Direct,04/08/1998,46,F,Permanent Home
5637201,Direct,04/08/1998,47,F,Permanent Home
5637201,Direct,04/08/1998,49,F,Permanent Home
5637201,Direct,04/08/1998,50,F,Permanent Home
5642005,Direct,04/16/1998,5,F,Mobile/Trailer Home
5642005,Direct,04/16/1998,2,M,Mobile/Trailer Home
5642013,Direct,04/16/1998,47,M,Mobile/Trailer Home
5642013,Direct,04/16/1998,47,F,Mobile/Trailer Home
5642865,Direct,04/16/1998,35,F,Permanent Home
5641116,Direct,04/16/1998,75,F,Mobile/Trailer Home
5641116,Direct,04/16/1998,57,F,Mobile/Trailer Home
5641116,Direct,04/16/1998,69,F,Permanent Home
5649784,Direct,04/01/1998,1,M,Permanent Home
5639368,Direct,05/07/1998,38,F,Mobile/Trailer Home
5636650,Direct,05/10/1998,90,F,Mobile/Trailer Home
5641024,Direct,05/04/1998,22,M,Outside/Open Areas
5645426,Direct,05/30/1998,77,F,Permanent Home
5645426,Direct,05/30/1998,93,F,Permanent Home
5645426,Direct,05/30/1998,68,F,Permanent Home
5645426,Direct,05/30/1998,62,M,Permanent Home
5645426,Direct,05/30/1998,85,F,Permanent Home
5650587,Direct,05/31/1998,13,F,Vehicle/Towed Trailer
5649342,Direct,05/15/1998,78,M,Outside/Open Areas
5639378,Direct,06/01/1998,41,M,Mobile/Trailer Home
5657100,Direct,06/02/1998,35,M,Permanent Home
5657100,Direct,06/02/1998,72,F,Permanent Home
5639755,Direct,04/08/1998,72,M,Permanent Home
5638634,Direct,04/16/1998,67,M,Mobile/Trailer Home
5638634,Direct,04/16/1998,47,M,Outside/Open Areas
5638635,Direct,04/16/1998,78,M,Permanent Home
5639378,Direct,04/09/1998,38,F,Mobile/Trailer Home
5639380,Direct,04/09/1998,13,F,Mobile/Trailer Home
5639380,Direct,04/09/1998,30,F,Mobile/Trailer Home
5670013,Direct,09/10/1998,22,M,Mobile/Trailer Home
5664052,Direct,09/03/1998,66,F,Mobile/Trailer Home
5671729,Direct,10/17/1998,33,M,Mobile/Trailer Home
5672042,Direct,10/18/1998,47,M,Mobile/Trailer Home
5633550,Direct,03/20/1998,74,M,Mobile/Trailer Home
5633551,Direct,03/20/1998,4,F,Mobile/Trailer Home
5633551,Direct,03/30/1998,31,M,Mobile/Trailer Home
5638159,Direct,03/23/1998,80,M,Permanent Home
5638159,Direct,03/23/1998,24,F,Vehicle/Towed Trailer
5638760,Direct,03/30/1998,85,M,Permanent Home
5668706,Direct,06/27/1998,45,F,Mobile/Trailer Home
5637201,Direct,04/09/1998,37,M,Permanent Home
5637201,Direct,04/08/1998,33,F,Permanent Home
5637201,Direct,04/08/1998,83,F,Permanent Home
5637201,Direct,04/15/1998,8,M,Permanent Home
5637201,Direct,04/08/1998,81,F,Permanent Home
5649784,Direct,04/01/1998,39,F,Permanent Home
5645426,Direct,05/30/1998,70,F,Permanent Home
5638761,Direct,03/29/1998,6,M,Vehicle/Towed Trailer
5643843,Direct,02/23/1998,53,M,Vehicle/Towed Trailer
5641811,Direct,02/23/1998,73,M,Vehicle/Towed Trailer
5633550,Direct,03/20/1998,50,M,Vehicle/Towed Trailer
5641811,Direct,02/23/1998,50,M,Mobile/Trailer Home
5641811,Direct,02/23/1998,51,M,Vehicle/Towed Trailer
5641811,Direct,02/23/1998,55,M,Mobile/Trailer Home
5641811,Direct,02/23/1998,64,F,Vehicle/Towed Trailer
5643839,Direct,02/22/1998,41,M,Mobile/Trailer Home
5643841,Direct,02/22/1998,68,F,Mobile/Trailer Home
5643841,Direct,02/22/1998,80,M,Mobile/Trailer Home
5643841,Direct,02/22/1998,80,M,Mobile/Trailer Home
5643842,Direct,02/23/1998,9,M,Mobile/Trailer Home
5643842,Direct,02/23/1998,11,F,Mobile/Trailer Home
5643842,Direct,02/23/1998,21,F,Mobile/Trailer Home
5643842,Direct,02/23/1998,23,M,Mobile/Trailer Home
5643842,Direct,02/23/1998,26,M,Mobile/Trailer Home
5643842,Direct,02/23/1998,37,M,Mobile/Trailer Home
5643842,Direct,02/23/1998,39,F,Mobile/Trailer Home
5643842,Direct,02/23/1998,40,F,Mobile/Trailer Home
5643842,Direct,02/23/1998,41,M,Mobile/Trailer Home
5643842,Direct,02/23/1998,49,M,Mobile/Trailer Home
5643842,Direct,02/23/1998,53,M,Permanent Home
5643842,Direct,02/23/1998,62,M,Mobile/Trailer Home
5641811,Direct,02/23/1998,1,M,Mobile/Trailer Home
5641811,Direct,02/23/1998,22,M,Mobile/Trailer Home
5641811,Direct,02/23/1998,23,M,Mobile/Trailer Home
5641811,Direct,02/23/1998,30,M,Vehicle/Towed Trailer
5641811,Direct,02/23/1998,31,F,Mobile/Trailer Home
5641811,Direct,02/23/1998,33,F,Mobile/Trailer Home
5641811,Direct,02/23/1998,38,M,Mobile/Trailer Home
5641811,Direct,02/23/1998,45,F,Mobile/Trailer Home
5641811,Direct,02/23/1998,47,F,Mobile/Trailer Home
5641811,Direct,02/23/1998,65,F,Mobile/Trailer Home
5641811,Direct,02/23/1998,66,F,Mobile/Trailer Home
5641811,Direct,02/23/1998,67,F,Mobile/Trailer Home
5641811,Direct,02/23/1998,69,M,Vehicle/Towed Trailer
5641811,Direct,02/23/1998,70,F,Vehicle/Towed Trailer
5641811,Direct,02/23/1998,71,F,Vehicle/Towed Trailer
5641811,Direct,02/23/1998,71,M,Vehicle/Towed Trailer
5641811,Direct,02/23/1998,75,F,Mobile/Trailer Home
5641811,Direct,02/23/1998,85,F,Vehicle/Towed Trailer
5641811,Direct,02/23/1998,51,M,Vehicle/Towed Trailer
5641811,Direct,02/23/1998,33,M,Vehicle/Towed Trailer
5633550,Direct,03/20/1998,1,M,Mobile/Trailer Home
5633550,Direct,03/20/1998,6,M,Mobile/Trailer Home
5633550,Direct,03/20/1998,12,F,Mobile/Trailer Home
5633550,Direct,03/20/1998,30,M,Mobile/Trailer Home
5633550,Direct,03/20/1998,32,F,Mobile/Trailer Home
5633550,Direct,03/20/1998,35,M,Mobile/Trailer Home
5633550,Direct,03/20/1998,51,M,Mobile/Trailer Home
5633550,Direct,03/20/1998,52,M,Mobile/Trailer Home
