event_id,fatality_type,FATALITY_DATE,fatality_age,fatality_sex,fatality_location
9996462,Direct,01/15/1971,Unknown,Unknown,
9976288,Direct,02/04/1971,Unknown,Unknown,
10030912,Direct,03/10/1971,Unknown,Unknown,
10135015,Direct,03/12/1971,Unknown,Unknown,
10036053,Direct,04/27/1971,Unknown,Unknown,
10011200,Direct,04/27/1971,Unknown,Unknown,
9997572,Direct,04/23/1971,Unknown,Unknown,
10048688,Direct,05/09/1971,Unknown,Unknown,
10059255,Direct,05/05/1971,Unknown,Unknown,
10006493,Direct,05/06/1971,Unknown,Unknown,
10135116,Direct,05/23/1971,Unknown,Unknown,
10013526,Direct,06/24/1971,Unknown,Unknown,
10148953,Direct,07/18/1971,Unknown,Unknown,
10055935,Direct,12/14/1971,Unknown,Unknown,
10055945,Direct,12/15/1971,Unknown,Unknown,
