event_id,fatality_type,FATALITY_DATE,fatality_age,fatality_sex,fatality_location
694736,Direct,04/02/2017,38,F,Mobile/Trailer Home
694736,Direct,04/02/2017,3,F,Mobile/Trailer Home
683249,Direct,04/29/2017,57,M,Other
683249,Direct,04/29/2017,51,M,Permanent Home
683254,Direct,04/29/2017,39,M,Vehicle/Towed Trailer
683254,Direct,04/29/2017,49,F,Vehicle/Towed Trailer
723747,Indirect,10/25/2017,31,M,Under Tree
689564,Direct,05/16/2017,45,M,Mobile/Trailer Home
674614,Direct,02/28/2017,31,M,Outside/Open Areas
674614,Direct,02/28/2017,76,M,Outside/Open Areas
673010,Direct,01/22/2017,59,M,Mobile/Trailer Home
673010,Direct,01/22/2017,59,F,Mobile/Trailer Home
702632,Direct,05/16/2017,53,M,Vehicle/Towed Trailer
673010,Direct,01/22/2017,39,M,Mobile/Trailer Home
673010,Direct,01/22/2017,77,F,Permanent Home
673010,Direct,01/22/2017,82,M,Permanent Home
673054,Direct,01/22/2017,Unknown,M,Mobile/Trailer Home
673054,Direct,01/22/2017,Unknown,F,Mobile/Trailer Home
673083,Direct,01/22/2017,18,F,Mobile/Trailer Home
673083,Direct,01/22/2017,33,F,Mobile/Trailer Home
673083,Direct,01/22/2017,62,F,Mobile/Trailer Home
673083,Direct,01/22/2017,38,F,Mobile/Trailer Home
673083,Direct,01/22/2017,41,F,Mobile/Trailer Home
673083,Direct,01/22/2017,41,F,Mobile/Trailer Home
673083,Direct,01/22/2017,36,M,Mobile/Trailer Home
673095,Direct,01/22/2017,82,M,Permanent Home
673095,Direct,01/22/2017,78,F,Permanent Home
690887,Direct,04/03/2017,65,M,Mobile/Trailer Home
709960,Indirect,07/21/2017,72,M,Vehicle/Towed Trailer
692096,Direct,04/30/2017,36,M,Permanent Home
676496,Direct,01/21/2017,58,M,Mobile/Trailer Home
676496,Direct,01/21/2017,47,M,Mobile/Trailer Home
676496,Direct,01/21/2017,20,M,Permanent Home
676496,Direct,01/21/2017,72,F,Permanent Home
677523,Direct,02/28/2017,71,M,Outside/Open Areas
677516,Direct,02/28/2017,24,M,Vehicle/Towed Trailer
675337,Direct,02/07/2017,83,M,Outside/Open Areas
