event_id,fatality_type,FATALITY_DATE,fatality_age,fatality_sex,fatality_location
300477,Direct,04/16/2011,92,M,Mobile/Trailer Home
300477,Direct,04/16/2011,50,M,Mobile/Trailer Home
300477,Direct,04/16/2011,54,F,Mobile/Trailer Home
300502,Direct,04/16/2011,50,M,Mobile/Trailer Home
300747,Direct,04/27/2011,56,M,Vehicle/Towed Trailer
301771,Direct,04/27/2011,83,M,Permanent Home
301811,Direct,04/27/2011,68,F,Unknown
301811,Direct,04/27/2011,45,M,Unknown
301811,Direct,04/27/2011,35,M,Unknown
340632,Direct,08/10/2011,82,F,Mobile/Trailer Home
347518,Direct,04/27/2011,47,M,Mobile/Trailer Home
347518,Direct,04/27/2011,63,M,Permanent Home
347518,Direct,04/27/2011,70,M,Permanent Home
347518,Direct,04/27/2011,56,F,Permanent Home
347518,Direct,04/27/2011,58,M,Permanent Home
347518,Direct,04/27/2011,47,F,Permanent Home
289571,Direct,04/15/2011,7,M,Permanent Home
289592,Direct,04/26/2011,1,M,Permanent Home
289612,Direct,04/25/2011,63,M,Mobile/Trailer Home
289612,Direct,04/25/2011,55,M,Mobile/Trailer Home
289612,Direct,04/25/2011,45,M,Other
289612,Direct,04/25/2011,45,F,Other
292185,Direct,03/05/2011,21,F,Permanent Home
294036,Direct,04/27/2011,42,F,Permanent Home
294036,Direct,04/27/2011,77,M,Permanent Home
294036,Direct,04/27/2011,33,F,Permanent Home
294036,Direct,04/27/2011,56,F,Permanent Home
294080,Direct,05/22/2011,59,M,Vehicle/Towed Trailer
295351,Direct,04/05/2011,45,M,Mobile/Trailer Home
295476,Direct,05/21/2011,53,M,Mobile/Trailer Home
314662,Direct,04/27/2011,85,F,Permanent Home
314662,Direct,04/27/2011,36,M,Permanent Home
314662,Direct,04/27/2011,88,F,Permanent Home
314662,Direct,04/27/2011,23,F,Permanent Home
314662,Direct,04/27/2011,22,M,Permanent Home
314662,Direct,04/27/2011,15,M,Permanent Home
314662,Direct,04/27/2011,55,F,Permanent Home
314662,Direct,04/27/2011,21,M,Permanent Home
314662,Direct,06/08/2011,80,F,Permanent Home
314662,Direct,09/16/2011,50,M,Permanent Home
314662,Direct,04/27/2011,51,M,Permanent Structure
314662,Direct,04/27/2011,3,M,Permanent Structure
314662,Direct,04/27/2011,21,F,Permanent Structure
314662,Direct,04/27/2011,1,F,Permanent Structure
314662,Direct,04/27/2011,22,F,Permanent Structure
314662,Direct,04/27/2011,5,F,Permanent Structure
314662,Direct,04/27/2011,58,F,Permanent Structure
314662,Direct,04/27/2011,50,F,Permanent Structure
314662,Direct,04/27/2011,1,F,Permanent Structure
314662,Direct,04/27/2011,2,F,Permanent Structure
314662,Direct,04/27/2011,26,F,Permanent Structure
314662,Direct,04/27/2011,21,M,Permanent Structure
296617,Direct,05/22/2011,63,F,Permanent Structure
296617,Direct,05/22/2011,48,M,Permanent Structure
296617,Direct,05/22/2011,82,F,Permanent Structure
296617,Direct,05/22/2011,83,F,Permanent Structure
296617,Direct,05/22/2011,48,M,Permanent Structure
296617,Direct,05/22/2011,71,F,Permanent Structure
296617,Direct,05/22/2011,92,F,Permanent Structure
296617,Direct,05/22/2011,85,M,Permanent Structure
296617,Direct,05/22/2011,52,M,Permanent Structure
296617,Direct,05/22/2011,74,M,Permanent Structure
296617,Indirect,05/22/2011,84,M,Permanent Structure
296617,Indirect,05/22/2011,39,M,Permanent Structure
296617,Indirect,05/22/2011,77,M,Permanent Structure
296617,Direct,05/22/2011,68,M,Permanent Structure
296617,Direct,05/22/2011,43,F,Vehicle/Towed Trailer
296617,Direct,05/22/2011,66,M,Vehicle/Towed Trailer
296617,Direct,05/22/2011,39,M,Vehicle/Towed Trailer
296617,Direct,05/22/2011,28,M,Vehicle/Towed Trailer
296617,Direct,05/22/2011,63,M,Vehicle/Towed Trailer
296617,Direct,05/22/2011,16,M,Vehicle/Towed Trailer
296617,Direct,05/22/2011,47,F,Vehicle/Towed Trailer
296617,Direct,05/22/2011,70,F,Vehicle/Towed Trailer
296617,Direct,05/22/2011,48,M,Vehicle/Towed Trailer
296617,Direct,05/22/2011,44,M,Vehicle/Towed Trailer
296617,Direct,05/22/2011,18,M,Vehicle/Towed Trailer
296617,Direct,05/22/2011,34,M,Vehicle/Towed Trailer
296617,Direct,05/22/2011,68,F,Vehicle/Towed Trailer
296617,Direct,05/22/2011,68,F,Vehicle/Towed Trailer
296617,Direct,05/22/2011,28,M,Vehicle/Towed Trailer
296776,Direct,04/15/2011,57,F,Mobile/Trailer Home
296786,Direct,04/15/2011,38,F,Mobile/Trailer Home
296786,Direct,04/15/2011,10,M,Mobile/Trailer Home
296786,Direct,04/15/2011,13,M,Mobile/Trailer Home
296789,Direct,04/27/2011,62,F,Mobile/Trailer Home
296789,Direct,04/27/2011,70,M,Mobile/Trailer Home
