event_id,fatality_type,FATALITY_DATE,fatality_age,fatality_sex,fatality_location
5323812,Direct,11/12/2002,42,M,Mobile/Trailer Home
5323812,Direct,11/09/2002,65,F,Mobile/Trailer Home
5322729,Direct,11/10/2002,47,M,Permanent Home
5322729,Direct,11/10/2002,36,F,Permanent Home
5322729,Direct,11/10/2002,73,F,Permanent Home
5322729,Direct,11/10/2002,55,M,Vehicle/Towed Trailer
5322729,Direct,11/10/2002,1,F,Vehicle/Towed Trailer
5322729,Direct,11/10/2002,45,M,Permanent Home
5322729,Direct,11/10/2002,93,F,Permanent Home
5322801,Direct,11/10/2002,75,M,Permanent Home
5322864,Direct,11/10/2002,72,M,Mobile/Trailer Home
5322864,Direct,11/10/2002,67,F,Mobile/Trailer Home
5293473,Direct,04/21/2002,47,M,Mobile/Trailer Home
5292401,Direct,04/27/2002,12,M,Permanent Home
5292486,Direct,04/28/2002,69,F,Vehicle/Towed Trailer
5292540,Direct,04/28/2002,51,M,Permanent Home
5292640,Direct,05/03/2002,68,M,Permanent Home
5322422,Direct,11/10/2002,24,M,Permanent Home
5321432,Direct,11/10/2002,53,M,Outside/Open Areas
5321432,Direct,11/10/2002,61,M,Mobile/Trailer Home
5321432,Direct,11/10/2002,62,F,Mobile/Trailer Home
5321433,Direct,12/18/2002,91,M,Permanent Home
5321436,Direct,11/10/2002,39,F,Mobile/Trailer Home
5321436,Direct,11/10/2002,15,F,Mobile/Trailer Home
5321436,Direct,11/10/2002,50,M,Mobile/Trailer Home
5321436,Direct,11/10/2002,51,M,Mobile/Trailer Home
5321436,Direct,11/10/2002,73,F,Mobile/Trailer Home
5321436,Direct,11/10/2002,38,F,Mobile/Trailer Home
5321436,Direct,11/10/2002,61,F,Mobile/Trailer Home
5321578,Direct,11/10/2002,72,F,Mobile/Trailer Home
5321639,Direct,11/05/2002,54,M,Permanent Home
5322139,Direct,11/10/2002,45,M,Mobile/Trailer Home
5322139,Direct,11/10/2002,49,F,Mobile/Trailer Home
5322212,Direct,11/10/2002,75,F,Mobile/Trailer Home
5322212,Direct,11/10/2002,80,M,Mobile/Trailer Home
5322212,Direct,11/10/2002,55,M,Mobile/Trailer Home
5322212,Direct,11/10/2002,52,F,Mobile/Trailer Home
5322213,Direct,11/10/2002,10,M,Mobile/Trailer Home
5322213,Direct,11/10/2002,43,M,Mobile/Trailer Home
5326101,Direct,12/18/2002,32,F,Mobile/Trailer Home
5326269,Direct,12/17/2002,47,F,Permanent Home
5324258,Direct,12/18/2002,84,F,Mobile/Trailer Home
5292640,Direct,04/28/2002,65,F,Permanent Home
5291706,Direct,04/28/2002,52,M,Mobile/Trailer Home
5291920,Direct,05/09/2002,38,F,Mobile/Trailer Home
5291920,Direct,05/09/2002,42,M,Mobile/Trailer Home
5296441,Direct,05/05/2002,37,M,Mobile/Trailer Home
5296441,Direct,05/05/2002,35,F,Mobile/Trailer Home
5326269,Direct,12/24/2002,64,F,Under Tree
5319530,Direct,10/29/2002,16,F,Mobile/Trailer Home
5319530,Direct,10/29/2002,33,F,Mobile/Trailer Home
5319564,Direct,10/24/2002,Unknown,M,School
5322919,Direct,11/10/2002,52,M,Outside/Open Areas
5322801,Direct,11/10/2002,18,M,Vehicle/Towed Trailer
5323155,Direct,11/10/2002,81,M,Permanent Home
