event_id,fatality_type,FATALITY_DATE,fatality_age,fatality_sex,fatality_location
10146803,Direct,06/25/1950,Unknown,Unknown,
10009717,Direct,12/02/1950,Unknown,Unknown,
9981922,Direct,01/13/1950,Unknown,Unknown,
10120403,Direct,02/11/1950,Unknown,Unknown,
10120406,Direct,02/12/1950,Unknown,Unknown,
10049527,Direct,03/27/1950,Unknown,Unknown,
9983002,Direct,04/02/1950,Unknown,Unknown,
10096220,Direct,04/28/1950,Unknown,Unknown,
10120413,Direct,05/04/1950,Unknown,Unknown,
10032647,Direct,05/02/1950,Unknown,Unknown,
10027597,Direct,06/08/1950,Unknown,Unknown,
