event_id,fatality_type,FATALITY_DATE,fatality_age,fatality_sex,fatality_location
10050793,Direct,02/18/1976,Unknown,Unknown,
10057267,Direct,02/21/1976,Unknown,Unknown,
9982292,Direct,03/29/1976,Unknown,Unknown,
10048851,Direct,03/20/1976,Unknown,Unknown,
10038677,Direct,03/30/1976,Unknown,Unknown,
10058383,Direct,03/26/1976,Unknown,Unknown,
10038667,Direct,03/20/1976,Unknown,Unknown,
10038668,Direct,03/20/1976,Unknown,Unknown,
10093327,Direct,03/26/1976,Unknown,Unknown,
10019406,Direct,03/12/1976,Unknown,Unknown,
10019416,Direct,03/12/1976,Unknown,Unknown,
10033022,Direct,04/20/1976,Unknown,Unknown,
10111575,Direct,05/15/1976,Unknown,Unknown,
10051440,Direct,06/14/1976,Unknown,Unknown,
10117741,Direct,07/11/1976,Unknown,Unknown,
10116890,Direct,07/11/1976,Unknown,Unknown,
10001786,Direct,08/12/1976,Unknown,Unknown,
10033916,Direct,09/26/1976,Unknown,Unknown,
10016129,Direct,09/26/1976,Unknown,Unknown,
10016130,Direct,09/26/1976,Unknown,Unknown,
