event_id,fatality_type,FATALITY_DATE,fatality_age,fatality_sex,fatality_location
10078009,Direct,03/17/1965,Unknown,Unknown,
10078012,Direct,03/17/1965,Unknown,Unknown,
10040660,Direct,04/11/1965,Unknown,Unknown,
10040669,Direct,04/11/1965,Unknown,Unknown,
10119392,Direct,04/19/1965,Unknown,Unknown,
10083988,Direct,04/11/1965,Unknown,Unknown,
10013619,Direct,04/11/1965,Unknown,Unknown,
10005025,Direct,04/11/1965,Unknown,Unknown,
10005027,Direct,04/11/1965,Unknown,Unknown,
10126185,Direct,04/15/1965,Unknown,Unknown,
10054431,Direct,05/06/1965,Unknown,Unknown,
10111161,Direct,06/07/1965,Unknown,Unknown,
10135683,Direct,06/04/1965,Unknown,Unknown,
10111167,Direct,06/07/1965,Unknown,Unknown,
10015301,Direct,08/26/1965,Unknown,Unknown,
10078036,Direct,10/07/1965,Unknown,Unknown,
10035987,Direct,11/26/1965,Unknown,Unknown,
