event_id,fatality_type,FATALITY_DATE,fatality_age,fatality_sex,fatality_location
10029829,Direct,01/18/1973,Unknown,Unknown,
9996767,Direct,03/31/1973,Unknown,Unknown,
9996769,Direct,03/31/1973,Unknown,Unknown,
10136387,Direct,03/10/1973,Unknown,Unknown,
10126471,Direct,03/15/1973,Unknown,Unknown,
9984492,Direct,04/20/1973,Unknown,Unknown,
10058166,Direct,04/20/1973,Unknown,Unknown,
10089183,Direct,04/27/1973,Unknown,Unknown,
9977074,Direct,05/27/1973,Unknown,Unknown,
9977080,Direct,05/27/1973,Unknown,Unknown,
9977072,Direct,05/27/1973,Unknown,Unknown,
10048176,Direct,05/27/1973,Unknown,Unknown,
10054625,Direct,05/09/1973,Unknown,Unknown,
10087068,Direct,05/10/1973,Unknown,Unknown,
9999440,Direct,05/26/1973,Unknown,Unknown,
9996810,Direct,05/28/1973,Unknown,Unknown,
10112157,Direct,06/24/1973,Unknown,Unknown,
10112165,Direct,07/01/1973,Unknown,Unknown,
10020266,Direct,09/25/1973,Unknown,Unknown,
9980014,Direct,11/24/1973,Unknown,Unknown,
10053886,Direct,11/27/1973,Unknown,Unknown,
10114448,Direct,12/13/1973,Unknown,Unknown,
