episode_id,event_id,state,county_fips,county_name,wfo,begin_date_time,county_timezone,end_date_time,injuries_direct,injuries_indirect,deaths_direct,deaths_indirect,property_damage,crop_damage,source,tornado_rating,max_windspeed,tornado_length,tornado_max_width,other_wfos,other_states,other_counties_fips,other_counties_names,begin_latitude,begin_longitude,end_latitude,end_longitude,episode_narrative,event_narrative,state_code,begin_date_time_corrected,end_date_time_corrected,begin_time_adjusted,end_time_adjusted
,9985035,Colorado,41,El Paso,,1992-06-24 18:27:00,MST,1992-06-24 18:27:00,0,0,0,0,0K,0,,F0,Unknown,0.1,10,,,,,38.68,-104.7,,,,,CO,1992-06-24 19:27:00,1992-06-24 19:27:00,True,True
,9985036,Colorado,63,Kit Carson,,1992-06-24 19:43:00,MST,1992-06-24 19:43:00,0,0,0,0,0K,0,,F0,Unknown,0.1,10,,,,,39.3,-103.07,,,,,CO,1992-06-24 20:43:00,1992-06-24 20:43:00,True,True
,9985038,Colorado,41,El Paso,,1992-06-26 12:51:00,MST,1992-06-26 12:51:00,0,0,0,0,0K,0,,F0,Unknown,0.1,10,,,,,39.12,-104.92,,,,,CO,1992-06-26 13:51:00,1992-06-26 13:51:00,True,True
,9985040,Colorado,123,Weld,,1992-06-26 18:40:00,CST,1992-06-26 18:40:00,0,0,0,0,0K,0,,F0,Unknown,0.1,10,,,,,40.03,-104.32,,,,,CO,1992-06-26 19:40:00,1992-06-26 19:40:00,True,True
,9985041,Colorado,123,Weld,,1992-06-26 18:40:00,CST,1992-06-26 18:40:00,0,0,0,0,0K,0,,F0,Unknown,0.1,10,,,,,40.03,-104.17,,,,,CO,1992-06-26 19:40:00,1992-06-26 19:40:00,True,True
,9985042,Colorado,87,Morgan,,1992-06-26 18:43:00,CST,1992-06-26 18:43:00,0,0,0,0,0K,0,,F0,Unknown,0.1,10,,,,,40.23,-104.13,,,,,CO,1992-06-26 19:43:00,1992-06-26 19:43:00,True,True
,9985043,Colorado,75,Logan,,1992-06-26 20:10:00,MST,1992-06-26 20:10:00,0,0,0,0,0K,0,,F0,Unknown,0.1,10,,,,,40.78,-103.2,,,,,CO,1992-06-26 21:10:00,1992-06-26 21:10:00,True,True
,9985044,Colorado,121,Washington,,1992-06-27 14:28:00,MST,1992-06-27 14:28:00,0,0,0,0,0K,0,,F0,Unknown,0.1,10,,,,,39.92,-103.07,,,,,CO,1992-06-27 15:28:00,1992-06-27 15:28:00,True,True
,9985045,Colorado,73,Lincoln,,1992-06-27 15:28:00,MST,1992-06-27 15:28:00,0,0,0,0,0K,0,,F0,Unknown,0.1,10,,,,,39.28,-103.28,,,,,CO,1992-06-27 16:28:00,1992-06-27 16:28:00,True,True
,9985046,Colorado,41,El Paso,,1992-06-29 15:36:00,MST,1992-06-29 15:36:00,0,0,0,0,0K,0,,F1,Unknown,3.0,100,,,,,39.13,-104.98,39.12,-104.82,,,CO,1992-06-29 16:36:00,1992-06-29 16:36:00,True,True
,9985047,Colorado,5,Arapahoe,,1992-07-01 17:55:00,MST,1992-07-01 17:55:00,0,0,0,0,0K,0,,F0,Unknown,0.1,10,,,,,39.62,-103.83,,,,,CO,1992-07-01 18:55:00,1992-07-01 18:55:00,True,True
,9985048,Colorado,5,Arapahoe,,1992-07-01 18:35:00,MST,1992-07-01 18:35:00,0,0,0,0,0K,0,,F0,Unknown,0.1,10,,,,,39.73,-103.78,,,,,CO,1992-07-01 19:35:00,1992-07-01 19:35:00,True,True
,9985049,Colorado,121,Washington,,1992-07-01 18:41:00,MST,1992-07-01 18:41:00,0,0,0,0,0K,0,,F0,Unknown,0.1,10,,,,,39.6,-103.58,,,,,CO,1992-07-01 19:41:00,1992-07-01 19:41:00,True,True
,9985051,Colorado,41,El Paso,,1992-07-08 16:38:00,MST,1992-07-08 16:38:00,0,0,0,0,0K,0,,F0,Unknown,0.1,10,,,,,38.53,-104.08,,,,,CO,1992-07-08 17:38:00,1992-07-08 17:38:00,True,True
,9985054,Colorado,73,Lincoln,,1992-07-12 18:30:00,MST,1992-07-12 18:30:00,0,0,0,0,2.5K,0,,F0,Unknown,0.1,10,,,,,39.2,-103.7,,,,,CO,1992-07-12 19:30:00,1992-07-12 19:30:00,True,True
,9985055,Colorado,125,Yuma,,1992-07-17 20:58:00,CST,1992-07-17 20:58:00,0,0,0,0,0K,0,,F0,Unknown,1.0,50,,,,,39.72,-102.3,,,,,CO,1992-07-17 21:58:00,1992-07-17 21:58:00,True,True
,9985056,Colorado,125,Yuma,,1992-07-17 21:00:00,MST,1992-07-17 21:00:00,0,0,0,0,0K,0,,F0,Unknown,0.1,10,,,,,39.72,-102.28,,,,,CO,1992-07-17 22:00:00,1992-07-17 22:00:00,True,True
,9985059,Colorado,109,Saguache,,1992-07-29 19:15:00,MST,1992-07-29 19:15:00,0,0,0,0,2.5K,0,,F0,Unknown,0.1,10,,,,,38.08,-106.13,,,,,CO,1992-07-29 20:15:00,1992-07-29 20:15:00,True,True
,9985061,Colorado,1,Adams,,1992-08-01 17:06:00,MST,1992-08-01 17:06:00,0,0,0,0,0K,0,,F0,Unknown,0.5,50,,,,,39.75,-104.43,,,,,CO,1992-08-01 18:06:00,1992-08-01 18:06:00,True,True
,10062501,Mississippi,87,Lowndes,,1992-10-10 15:35:00,CST,1992-10-10 15:35:00,16,0,0,0,2.5M,0,,F2,Unknown,2.0,440,,,,,33.5,-88.43,,,,,MS,1992-10-10 16:35:00,1992-10-10 16:35:00,True,True
,10045915,Louisiana,13,Bienville,,1992-11-03 15:32:00,CST,1992-11-03 15:32:00,0,0,0,0,25M,0,,F3,Unknown,7.0,300,,,,,32.45,-93.1,32.57,-92.9,,,LA,1992-11-03 15:32:00,1992-11-03 15:32:00,False,False
,10079969,New Jersey,23,Middlesex,,1992-07-31 15:30:00,CST,1992-07-31 15:30:00,0,0,0,0,0K,0,,F1,Unknown,1.2,40,,,,,40.48,-74.28,,,,,NJ,1992-07-31 16:30:00,1992-07-31 16:30:00,True,True
,10079948,New Jersey,39,Union,,1992-07-15 16:38:00,CST,1992-07-15 16:38:00,0,0,0,0,0K,0,,F0,Unknown,2.0,100,,,,,40.63,-74.32,,,,,NJ,1992-07-15 17:38:00,1992-07-15 17:38:00,True,True
,10081377,Nevada,23,Nye,,1992-08-06 13:35:00,PST,1992-08-06 13:35:00,0,0,0,0,0K,0,,F0,Unknown,0.1,10,,,,,37.8,-116.78,,,,,NV,1992-08-06 14:35:00,1992-08-06 14:35:00,True,True
,10074549,New Mexico,15,Eddy,,1992-05-15 16:20:00,MST,1992-05-15 16:20:00,0,0,0,0,0K,0,,F0,Unknown,0.1,10,,,,,32.85,-104.4,,,,,NM,1992-05-15 17:20:00,1992-05-15 17:20:00,True,True
,10101166,Oklahoma,113,Osage,,1992-06-19 13:16:00,CST,1992-06-19 13:16:00,0,0,0,0,0K,0,,F0,Unknown,0.2,30,,,,,36.43,-96.43,,,,,OK,1992-06-19 14:16:00,1992-06-19 14:16:00,True,True
,10097490,Ohio,95,Lucas,,1992-07-12 15:25:00,EST,1992-07-12 15:25:00,1,0,0,0,2.5M,0,,F2,Unknown,5.0,200,,,,,41.52,-83.82,41.52,-83.7,,,OH,1992-07-12 16:25:00,1992-07-12 16:25:00,True,True
,10026897,Iowa,129,Mills,,1992-06-16 23:14:00,CST,1992-06-16 23:14:00,0,0,0,0,25K,0,,F2,Unknown,3.0,73,,,,,41.15,-95.9,41.15,-95.83,,,IA,1992-06-17 00:14:00,1992-06-17 00:14:00,True,True
,9992240,Arkansas,117,Prairie,,1992-03-06 16:30:00,CST,1992-03-06 16:30:00,0,0,0,0,25K,0,,F1,Unknown,13.0,200,,,,,35.07,-91.62,35.02,-91.35,,,AR,1992-03-06 16:30:00,1992-03-06 16:30:00,False,False
,10151334,Texas,17,Bailey,,1992-05-31 20:30:00,CST,1992-05-31 20:30:00,0,0,0,0,0K,0,,F0,Unknown,0.6,60,,,,,34.15,-102.67,,,,,TX,1992-05-31 21:30:00,1992-05-31 21:30:00,True,True
,10035018,Kansas,29,Cloud,,1992-07-12 17:30:00,CST,1992-07-12 17:30:00,0,0,0,0,2.5K,0,,F0,Unknown,0.5,23,,,,,39.6,-97.5,,,,,KS,1992-07-12 18:30:00,1992-07-12 18:30:00,True,True
,10080141,Nebraska,25,Cass,,1992-09-05 15:55:00,CST,1992-09-05 15:55:00,0,0,0,0,0K,0,,F0,Unknown,0.1,10,,,,,41.02,-96.05,,,,,NE,1992-09-05 16:55:00,1992-09-05 16:55:00,True,True
