episode_id,event_id,state,county_fips,county_name,wfo,begin_date_time,county_timezone,end_date_time,injuries_direct,injuries_indirect,deaths_direct,deaths_indirect,property_damage,crop_damage,source,tornado_rating,max_windspeed,tornado_length,tornado_max_width,other_wfos,other_states,other_counties_fips,other_counties_names,begin_latitude,begin_longitude,end_latitude,end_longitude,episode_narrative,event_narrative,state_code,begin_date_time_corrected,end_date_time_corrected,begin_time_adjusted,end_time_adjusted
,10047282,Mississippi,87,Lowndes,,2051-09-09 09:15:00,CST,2051-09-09 09:15:00,0,0,0,0,0K,0,,F2,Unknown,0.1,100,,,,,33.5,-88.43,,,,,MS,2051-09-09 09:15:00,2051-09-09 09:15:00,False,False
,10028729,Kansas,63,Gove,,2051-06-17 22:00:00,CST,2051-06-17 22:00:00,0,0,0,0,0K,0,,F0,Unknown,0.7,33,,,,,39.07,-100.23,,,,,KS,2051-06-17 22:00:00,2051-06-17 22:00:00,False,False
,10120421,Texas,225,Houston,,2051-03-28 05:10:00,CST,2051-03-28 05:10:00,0,0,0,0,2.5K,0,,F1,Unknown,0.5,17,,,,,31.37,-95.6,,,,,TX,2051-03-28 05:10:00,2051-03-28 05:10:00,False,False
,10099717,Oklahoma,33,Cotton,,2051-05-09 18:30:00,CST,2051-05-09 18:30:00,0,0,0,0,2.5K,0,,F1,Unknown,0.0,33,,,,,34.45,-98.32,,,,,OK,2051-05-09 18:30:00,2051-05-09 18:30:00,False,False
,10099742,Oklahoma,73,Kingfisher,,2051-07-15 16:20:00,CST,2051-07-15 16:20:00,0,0,0,0,.25K,0,,F2,Unknown,0.0,100,,,,,34.8,-94.8,,,,,OK,2051-07-15 16:20:00,2051-07-15 16:20:00,False,False
,10028691,Kansas,203,Wichita,,2051-05-08 18:00:00,CST,2051-05-08 18:00:00,0,0,0,0,.25K,0,,F1,Unknown,0.0,33,,,,,38.38,-101.55,,,,,KS,2051-05-08 18:00:00,2051-05-08 18:00:00,False,False
,10104933,Pennsylvania,1,Adams,,2051-03-30 15:00:00,CST,2051-03-30 15:00:00,0,0,0,0,2.5K,0,,F1,Unknown,0.1,20,,,,,39.83,-77.23,,,,,PA,2051-03-30 15:00:00,2051-03-30 15:00:00,False,False
,10104934,Pennsylvania,111,Somerset,,2051-05-11 13:30:00,CST,2051-05-11 13:30:00,1,0,0,0,25K,0,,F2,Unknown,8.0,33,,,,,40.12,-79.12,40.05,-78.98,,,PA,2051-05-11 13:30:00,2051-05-11 13:30:00,False,False
,10104935,Pennsylvania,5,Armstrong,,2051-06-27 22:04:00,CST,2051-06-27 22:04:00,0,0,0,0,2.5K,0,,F2,Unknown,19.7,33,,,,,40.58,-79.25,40.87,-79.18,,,PA,2051-06-27 22:04:00,2051-06-27 22:04:00,False,False
,10104936,Pennsylvania,15,Bradford,,2051-07-21 11:00:00,CST,2051-07-21 11:00:00,0,0,0,0,.25K,0,,F0,Unknown,0.1,33,,,,,41.8,-76.47,,,,,PA,2051-07-21 11:00:00,2051-07-21 11:00:00,False,False
,10082587,New Jersey,27,Morris,,2051-04-29 18:15:00,CST,2051-04-29 18:15:00,2,0,0,0,25K,0,,F1,Unknown,0.5,400,,,,,40.9,-74.6,,,,,NJ,2051-04-29 18:15:00,2051-04-29 18:15:00,False,False
,10099493,Oklahoma,15,Caddo,,2051-02-19 18:30:00,CST,2051-02-19 18:30:00,5,0,0,0,25K,0,,F2,Unknown,7.6,20,,,,,35.27,-98.18,35.37,-98.13,,,OK,2051-02-19 18:30:00,2051-02-19 18:30:00,False,False
,10039190,Michigan,93,Livingston,,2051-05-03 13:35:00,CST,2051-05-03 13:35:00,0,0,0,0,250K,0,,F2,Unknown,2.3,150,,,,,42.7,-84.05,42.73,-84.0,,,MI,2051-05-03 13:35:00,2051-05-03 13:35:00,False,False
,10039191,Michigan,45,Eaton,,2051-06-01 18:00:00,CST,2051-06-01 18:00:00,1,0,0,0,2.5K,0,,F1,Unknown,0.5,10,,,,,42.75,-84.75,,,,,MI,2051-06-01 18:00:00,2051-06-01 18:00:00,False,False
