episode_id,event_id,state,county_fips,county_name,wfo,begin_date_time,county_timezone,end_date_time,injuries_direct,injuries_indirect,deaths_direct,deaths_indirect,property_damage,crop_damage,source,tornado_rating,max_windspeed,tornado_length,tornado_max_width,other_wfos,other_states,other_counties_fips,other_counties_names,begin_latitude,begin_longitude,end_latitude,end_longitude,episode_narrative,event_narrative,state_code,begin_date_time_corrected,end_date_time_corrected,begin_time_adjusted,end_time_adjusted
87955,862154,Indiana,89,Lake,LOT,2014-06-30 21:38:00,CST-6,2014-06-30 21:39:00,0,0,0,0,0,0,NWS Storm Survey,EF1,86-110 mph,1.5,175.0,,,,,41.2725,-87.5268,41.2725,-87.5048,"Extensive damage was sustained from two separate lines of thunderstorms on Monday, June 30th which was officially determined to be from two separate derecho events from Central Iowa east into Michigan and Ohio. Thunderstorms developed over Iowa during the early afternoon and organized into a forward-propagating quasi-linear convective system (QLCS) and tracked to southern Lake Michigan by early to mid evening. Meanwhile, a second complex of intense thunderstorms developed over central and eastern Iowa and also evolved into a QLCS, tracking across northern Illinois and northwest Indiana late in the evening into the overnight hours. Across northern Illinois and northwest Indiana, the first derecho event produced scattered straight-line wind damage, with gusts measured as high as 70 mph. The second derecho produced far more extensive damage, with 80 to 90 mph straight line winds and numerous tornadoes. Initial post-event surveys cataloged 18 tornadoes across northern Illinois and northwest Indiana, 17 of EF1 intensity and one of EF0 intensity. Of these 18 tornadoes, 14 were associated with a pair of large mesovortices that traveled along the Kankakee River Valley in Kankakee County, Illinois and Lake, Newton, and Jasper Counties in Indiana. Analysis of Google Earth satellite imagery gathered in spring of 2015 showed numerous additional areas of damage not documented in the original survey efforts. A thorough analysis of this imagery and synthesis with the original survey information led to a complete reanalysis of the Kankakee Valley tornadoes. Ultimately, 18 tornado tracks were identified alone in the Kankakee Valley, leading to a total of 22 tornadoes for northern Illinois and northwest Indiana. Of the 18 revised tornadoes, 16 of the paths were determined, in part, using satellite imagery. Further re-examination of the damage also led to a change in rating for several of the damage locations. Of the 18 reanalyzed Kankakee Valley tracks, two were rated EF2, 13 were rated EF1, and three were rated EF0. Additional details on this reanalysis, including the methods used, can be found in the Electronic Journal of Severe Storms Meteorology (Lyza et al. 2019",This short-lived tornado began just west of the Illinois-Indiana state line and crossed the state line into a grove of trees and ended near Calumet Ave. There were multiple large trees downed with this tornado. Maximum winds were estimated to 90 mph.,IN,2014-06-30 22:38:00,2014-06-30 22:39:00,True,True
90898,544967,South Carolina,73,Oconee,GSP,2014-10-14 07:11:00,EST-5,2014-10-14 07:12:00,0,0,0,0,0.00K,,NWS Storm Survey,EF0,65-85 mph,0.89,100.0,,,,,34.68,-83.21,34.69,-83.2,"Widespread rain, along with multiple embedded lines of showers and low-topped thunderstorms developed across the Upstate throughout the 14th within a highly sheared, weakly unstable air mass. A couple of brief, weak tornadoes occurred across the foothills, while some isolated wind damage was also reported.",NWS Storm Survey team found the short path of a weak tornado on the grounds of a wilderness school off of Highway 76 near Westminster. Damage was confined to a couple of dozen uprooted trees in this rural area.,SC,2014-10-14 08:11:00,2014-10-14 08:12:00,True,True
90898,544968,South Carolina,45,Greenville,GSP,2014-10-14 19:00:00,EST-5,2014-10-14 19:02:00,0,0,0,0,1.00K,,NWS Storm Survey,EF0,65-85 mph,1.0,50.0,,,,,35.12,-82.24,35.13,-82.23,"Widespread rain, along with multiple embedded lines of showers and low-topped thunderstorms developed across the Upstate throughout the 14th within a highly sheared, weakly unstable air mass. A couple of brief, weak tornadoes occurred across the foothills, while some isolated wind damage was also reported.","NWS Storm Survey team found the short path of a weak tornado near Gowensville. The tornado touched down near the intersection of Highway 11 and Tugaloo Rd and moved quickly northeast, blowing down numerous trees and blowing the roof off a shed on Good Rd, where the tornado lifted.",SC,2014-10-14 20:00:00,2014-10-14 20:02:00,True,True
86168,520288,Virginia,107,Loudoun,LWX,2014-05-16 02:31:00,EST-5,2014-05-16 02:35:00,0,0,0,0,0.00K,5.00K,NWS Storm Survey,EF0,65-85 mph,0.4,75.0,,,,,38.9626,-77.6952,38.9689,-77.6909,A upper level trough stretched from Southern Canada to the Gulf Coast and an abundant amount of moisture was present across the Mid-Atlantic. A surface low was moving across the region in the overnight hours and showers and thunderstorms formed along the attendant cold front and surface trough.,The tornado was estimated to have touched down at approximately 3:31 AM EDT. Peak winds were estimated to have been 65 mph. A large tree was uprooted and fell across Sally Mill Road near the intersection of Light Horse Court. Additional trees and large branches were found uprooted and collapsed in different directions along with branches snapped or twisted at various points on a large residential property along Light Horse Court. The tornado quickly lifted around 3:35 AM EDT.,VA,2014-05-16 03:31:00,2014-05-16 03:35:00,True,True
88285,533364,North Dakota,3,Barnes,FGF,2014-09-04 02:26:00,CST-6,2014-09-04 02:28:00,0,0,0,0,,,Public,EF0,80 mph,1.05,30.0,,,,,46.79,-98.09,46.7997,-98.0729,"By the early morning hours of the 4th, an area of surface low pressure had moved into northeast South Dakota, with a warm front extending out to the east. Surface dew point values north of the front ranged in the lower 60s while south of the front they topped out around 70. At 850 millibars, the low level jet pushed juicy air up into southeast North Dakota and west central Minnesota, with drier air to the north. Finally, forty-five to fifty knot westerly winds at 500 millibars provided ample shear to the system. Thunderstorms over western and central North Dakota proceeded east and moved into Barnes County, North Dakota, during the first few hours of the 4th. These storms tracked nearly due east, finally exiting Wadena County, Minnesota, around sunrise. The strongest storms mainly stayed along and south of Interstate 94 in North Dakota and U. S. Highway 10 in Minnesota. These storms trained across the same areas as well, with some spots experiencing large hail or damaging winds two or three times during the event. In addition, heavy rainfall became a problem, resulting in some flash flooding.","A tornado tracked for about a mile or so, crossing state highway 1 in northeast Skandia Township. A thirty yard wide path was evident in a nearby field and several large branches were broken down in a shelterbelt and tossed a hundred yards or more downwind. Peak winds were estimated at 80 mph.",ND,2014-09-04 03:26:00,2014-09-04 03:28:00,True,True
90642,543875,North Carolina,61,Duplin,MHX,2014-09-08 15:45:00,EST-5,2014-09-08 15:46:00,1,0,0,0,200.00K,0.00K,NWS Storm Survey,EF2,115 mph,0.15,100.0,,,,,34.828,-77.902,34.83,-77.901,"Numerous showers and isolated thunderstorms moved northeast along a stall front across eastern North Carolina on September 8th, 2014. One of the storms produced a brief EF2 tornado in Duplin County.",A short lived EF2 tornado with winds estimated around 115 mph touched down near Greenevers in Duplin County. The tornado began about 350 yards south of Pasture Branch Road and lifted as it passed just north of the road. Three structures were heavily damaged or destroyed including one single family home and two manufactured homes. several cars at the residences were also moved or flipped. One minor injury was reported in the single family home.,NC,2014-09-08 16:45:00,2014-09-08 16:46:00,True,True
90554,543443,Missouri,87,Holt,EAX,2014-09-09 18:35:00,CST-6,2014-09-09 18:36:00,0,0,0,0,,,NWS Employee,EF0,65-85 mph,0.08,25.0,,,,,40.1757,-95.1212,40.1757,-95.1196,"During the afternoon and evening of September 9, 2014 a line of thunderstorms moved though eastern Nebraska into Iowa and northern Missouri. Along the southwestern edge of the line a strong supercell formed, producing widespread wind and hail across far northwestern Missouri. This supercell went on to produce 5 brief and weak tornadoes across northwestern Missouri before finally dissipating. The main line of convection then caused wind damage across northern Missouri through the remainder of the overnight hours. Another tornado then formed early in the morning on September 10 near Kirksville, Missouri. This tornado moved into the town and caused some minor damage to trees and residences. Once the wind and tornado threat decreased widespread heavy rain, producing up to 10 inches in some areas, caused flooding and flash flooding across much of northern Missouri, including closures to several main highways. No injuries were reported as a result of the severe weather and flooding, but the far northern part of the state received much damage on account of the winds and flooding.",A weak and brief tornado formed near the city of Maitland. It only persisted for a minute or less and did not damage.,MO,2014-09-09 19:35:00,2014-09-09 19:36:00,True,True
89686,539935,Massachusetts,27,Worcester,BOX,2014-08-31 19:10:00,EST-5,2014-08-31 19:14:00,0,0,0,0,100.00K,0.00K,NWS Storm Survey,EF0,65-85 mph,2.06,176.0,,,,,42.24,-71.8,42.26,-71.77,An upper level disturbance moved across New England in the evening. This combined with warm humid air and breaks of sunshine led to developing showers and thunderstorms.,"A tornado touchdown occurred near the intersection of Perry Avenue and Fairfax Road. A narrow well-defined damage path extended past Saint Vincent Hospital to Gordon Street. The most significant damage was to trees, some of which were uprooted or snapped. Some trees landed on cars causing significant damage to the cars. A couple of trees landed on houses, but there was little structural damage to the houses. A few windows were broken by tree branches.",MA,2014-08-31 20:10:00,2014-08-31 20:14:00,True,True
88934,536065,Montana,5,Blaine,TFX,2014-07-31 16:10:00,MST-7,2014-07-31 16:12:00,0,0,0,0,0.00K,0.00K,Public,EF0,65-85 mph,0.1,5.0,,,,,48.48,-108.37,48.48,-108.37,Very warm temperatures and light winds were seen as monsoonal moisture made its way north along the Rockies. Isolated to scattered showers and thunderstorms were seen.,A very small and brief tornado was reported to have touched down 18 mi E of Fort Belknap.,MT,2014-07-31 17:10:00,2014-07-31 17:12:00,True,True
90554,543444,Missouri,87,Holt,EAX,2014-09-09 18:40:00,CST-6,2014-09-09 18:41:00,0,0,0,0,,,Emergency Manager,EF0,65-85 mph,0.11,25.0,,,,,40.1853,-95.108,40.1853,-95.1058,"During the afternoon and evening of September 9, 2014 a line of thunderstorms moved though eastern Nebraska into Iowa and northern Missouri. Along the southwestern edge of the line a strong supercell formed, producing widespread wind and hail across far northwestern Missouri. This supercell went on to produce 5 brief and weak tornadoes across northwestern Missouri before finally dissipating. The main line of convection then caused wind damage across northern Missouri through the remainder of the overnight hours. Another tornado then formed early in the morning on September 10 near Kirksville, Missouri. This tornado moved into the town and caused some minor damage to trees and residences. Once the wind and tornado threat decreased widespread heavy rain, producing up to 10 inches in some areas, caused flooding and flash flooding across much of northern Missouri, including closures to several main highways. No injuries were reported as a result of the severe weather and flooding, but the far northern part of the state received much damage on account of the winds and flooding.","A weak and brief tornado formed just southwest of Maitland, Missouri, but caused little to no damage.",MO,2014-09-09 19:40:00,2014-09-09 19:41:00,True,True
