episode_id,event_id,state,county_fips,county_name,wfo,begin_date_time,county_timezone,end_date_time,injuries_direct,injuries_indirect,deaths_direct,deaths_indirect,property_damage,crop_damage,source,tornado_rating,max_windspeed,tornado_length,tornado_max_width,other_wfos,other_states,other_counties_fips,other_counties_names,begin_latitude,begin_longitude,end_latitude,end_longitude,episode_narrative,event_narrative,state_code,begin_date_time_corrected,end_date_time_corrected,begin_time_adjusted,end_time_adjusted
,10041753,Michigan,27,Cass,,2059-10-08 19:00:00,CST,2059-10-08 19:00:00,0,0,0,0,.25K,0,,F1,Unknown,12.1,33,,,,,41.88,-85.83,42.0,-85.65,,,MI,2059-10-08 19:00:00,2059-10-08 19:00:00,False,False
,10019293,Iowa,157,Poweshiek,,2059-05-09 18:15:00,CST,2059-05-09 18:15:00,0,0,0,0,2.5K,0,,F1,Unknown,4.9,200,,,,,41.7,-92.6,41.75,-92.52,,,IA,2059-05-09 18:15:00,2059-05-09 18:15:00,False,False
,10081702,New Mexico,41,Roosevelt,,2059-05-08 15:15:00,CST,2059-05-08 15:15:00,0,0,0,0,25K,0,,F1,Unknown,5.4,400,,,,,34.1,-103.1,34.13,-103.02,,,NM,2059-05-08 15:15:00,2059-05-08 15:15:00,False,False
,10094788,Oklahoma,131,Rogers,,2059-05-09 18:00:00,CST,2059-05-09 18:00:00,0,0,0,0,250K,0,,F3,Unknown,8.2,50,,,,,36.4,-95.8,36.52,-95.77,,,OK,2059-05-09 18:00:00,2059-05-09 18:00:00,False,False
,10027877,Kansas,179,Sheridan,,2059-05-29 16:30:00,CST,2059-05-29 16:30:00,0,0,0,0,250K,0,,F1,Unknown,7.9,33,,,,,39.37,-100.47,39.47,-100.38,,,KS,2059-05-29 16:30:00,2059-05-29 16:30:00,False,False
,10122990,Texas,201,Harris,,2059-04-08 06:30:00,CST,2059-04-08 06:30:00,0,0,0,0,25K,0,,F1,Unknown,4.9,67,,,,,30.1,-95.62,30.15,-95.57,,,TX,2059-04-08 06:30:00,2059-04-08 06:30:00,False,False
,10159475,Wyoming,11,Crook,,2059-06-25 17:00:00,CST,2059-06-25 17:00:00,0,0,0,0,25K,0,,F2,Unknown,1.0,133,,,,,44.27,-104.52,,,,,WY,2059-06-25 17:00:00,2059-06-25 17:00:00,False,False
,10122114,Texas,147,Fannin,,2059-03-20 12:45:00,CST,2059-03-20 12:45:00,0,0,0,0,25K,0,,F2,Unknown,10.7,67,,,,,33.43,-96.35,33.58,-96.3,,,TX,2059-03-20 12:45:00,2059-03-20 12:45:00,False,False
,10122115,Texas,147,Fannin,,2059-03-20 12:45:00,CST,2059-03-20 12:45:00,0,0,0,0,25K,0,,F2,Unknown,10.7,67,,,,,33.43,-96.35,33.58,-96.3,,,TX,2059-03-20 12:45:00,2059-03-20 12:45:00,False,False
,10119875,Texas,169,Garza,,2059-05-22 07:05:00,CST,2059-05-22 07:05:00,0,0,0,0,0K,0,,F0,Unknown,2.0,80,,,,,33.37,-101.47,,,,,TX,2059-05-22 07:05:00,2059-05-22 07:05:00,False,False
,10119879,Texas,239,Jackson,,2059-05-23 03:38:00,CST,2059-05-23 03:38:00,0,0,0,0,0K,0,,F0,Unknown,0.0,33,,,,,29.02,-96.63,,,,,TX,2059-05-23 03:38:00,2059-05-23 03:38:00,False,False
,10119880,Texas,273,Kleberg,,2059-05-24 00:20:00,CST,2059-05-24 00:20:00,0,0,0,0,0K,0,,F0,Unknown,0.0,33,,,,,27.63,-97.98,,,,,TX,2059-05-24 00:20:00,2059-05-24 00:20:00,False,False
,10119882,Texas,479,Webb,,2059-05-25 18:00:00,CST,2059-05-25 18:00:00,0,0,0,0,.25K,0,,F3,Unknown,0.0,33,,,,,35.32,-100.68,,,,,TX,2059-05-25 18:00:00,2059-05-25 18:00:00,False,False
,10119888,Texas,11,Armstrong,,2059-05-25 22:30:00,CST,2059-05-25 22:30:00,0,0,0,0,0K,0,,F0,Unknown,0.4,17,,,,,34.85,-101.43,,,,,TX,2059-05-25 22:30:00,2059-05-25 22:30:00,False,False
,10081725,New Mexico,13,Dona Ana,,2059-07-29 23:00:00,CST,2059-07-29 23:00:00,0,0,0,0,2.5K,0,,F1,Unknown,0.0,33,,,,,32.07,-106.62,,,,,NM,2059-07-29 23:00:00,2059-07-29 23:00:00,False,False
,10092791,Oklahoma,105,Nowata,,2059-10-02 10:00:00,CST,2059-10-02 10:00:00,0,0,0,0,0K,0,,F1,Unknown,2.0,33,,,,,36.77,-95.77,,,,,OK,2059-10-02 10:00:00,2059-10-02 10:00:00,False,False
