episode_id,event_id,state,county_fips,county_name,wfo,begin_date_time,county_timezone,end_date_time,injuries_direct,injuries_indirect,deaths_direct,deaths_indirect,property_damage,crop_damage,source,tornado_rating,max_windspeed,tornado_length,tornado_max_width,other_wfos,other_states,other_counties_fips,other_counties_names,begin_latitude,begin_longitude,end_latitude,end_longitude,episode_narrative,event_narrative,state_code,begin_date_time_corrected,end_date_time_corrected,begin_time_adjusted,end_time_adjusted
,9985660,Colorado,1,Adams,,1982-06-02 16:45:00,CST,1982-06-02 16:45:00,0,0,0,0,.03K,0,,F1,Unknown,0.5,100,,,,,39.78,-104.25,,,,,CO,1982-06-02 17:45:00,1982-06-02 17:45:00,True,True
,9985661,Colorado,123,Weld,,1982-06-02 16:55:00,CST,1982-06-02 16:55:00,0,0,0,0,.03K,0,,F1,Unknown,3.0,100,,,,,40.23,-104.37,40.22,-104.3,,,CO,1982-06-02 17:55:00,1982-06-02 17:55:00,True,True
,9985656,Colorado,1,Adams,,1982-06-02 16:36:00,CST,1982-06-02 16:36:00,0,0,0,0,.03K,0,,F1,Unknown,1.0,100,,,,,39.83,-104.23,,,,,CO,1982-06-02 17:36:00,1982-06-02 17:36:00,True,True
,10047804,Minnesota,147,Steele,,1982-05-17 15:38:00,CST,1982-05-17 15:38:00,0,0,0,0,250K,0,,F3,Unknown,16.0,100,,,,,43.85,-93.17,44.1,-93.17,,,MN,1982-05-17 16:38:00,1982-05-17 16:38:00,True,True
,9978526,Alabama,77,Lauderdale,,1982-04-17 03:35:00,CST,1982-04-17 03:35:00,0,0,0,0,250K,0,,F1,Unknown,1.0,100,,,,,34.95,-87.22,34.95,-87.2,,,AL,1982-04-17 03:35:00,1982-04-17 03:35:00,False,False
,9978527,Alabama,83,Limestone,,1982-04-17 03:37:00,CST,1982-04-17 03:37:00,0,0,0,0,250K,0,,F1,Unknown,25.0,100,,,,,34.95,-87.2,34.93,-86.78,,,AL,1982-04-17 03:37:00,1982-04-17 03:37:00,False,False
,9978528,Alabama,79,Lawrence,,1982-04-17 04:00:00,CST,1982-04-17 04:00:00,0,0,0,0,.03K,0,,F1,Unknown,0.2,40,,,,,34.67,-87.33,,,,,AL,1982-04-17 04:00:00,1982-04-17 04:00:00,False,False
,9978529,Alabama,89,Madison,,1982-04-17 04:25:00,CST,1982-04-17 04:25:00,0,0,0,0,250K,0,,F1,Unknown,2.0,100,,,,,34.93,-86.78,34.92,-86.75,,,AL,1982-04-17 04:25:00,1982-04-17 04:25:00,False,False
,9978532,Alabama,97,Mobile,,1982-04-25 05:20:00,CST,1982-04-25 05:20:00,0,0,0,0,250K,0,,F3,Unknown,1.5,100,,,,,30.25,-88.13,,,,,AL,1982-04-25 06:20:00,1982-04-25 06:20:00,True,True
,10074684,New Mexico,47,San Miguel,,1982-06-13 17:00:00,CST,1982-06-13 17:00:00,0,0,0,0,.03K,0,,F1,Unknown,0.1,3,,,,,35.6,-105.22,,,,,NM,1982-06-13 18:00:00,1982-06-13 18:00:00,True,True
,10005666,Illinois,199,Williamson,,1982-05-29 14:05:00,CST,1982-05-29 14:05:00,181,0,10,0,250M,0,,F4,Unknown,17.0,400,,,,,37.8,-89.13,37.72,-88.83,,,IL,1982-05-29 15:05:00,1982-05-29 15:05:00,True,True
,10016807,Indiana,1,Adams,,1982-03-16 15:30:00,CST,1982-03-16 15:30:00,0,0,0,0,250K,0,,F1,Unknown,0.0,33,,,,,40.92,-85.07,40.92,-84.98,,,IN,1982-03-16 15:30:00,1982-03-16 15:30:00,False,False
,10012943,Iowa,155,Pottawattamie,,1982-05-15 16:00:00,CST,1982-05-15 16:00:00,0,0,0,0,.03K,0,,F0,Unknown,0.0,33,,,,,41.48,-95.58,,,,,IA,1982-05-15 17:00:00,1982-05-15 17:00:00,True,True
,10105634,Oklahoma,31,Comanche,,1982-05-16 20:55:00,CST,1982-05-16 20:55:00,0,0,0,0,2.5M,0,,F0,Unknown,4.0,50,,,,,34.6,-98.42,34.67,-98.42,,,OK,1982-05-16 21:55:00,1982-05-16 21:55:00,True,True
,9999763,Florida,103,Pinellas,,1982-09-21 09:05:00,CST,1982-09-21 09:05:00,0,0,0,0,250K,0,,F1,Unknown,0.3,10,,,,,28.03,-82.67,,,,,FL,1982-09-21 10:05:00,1982-09-21 10:05:00,True,True
,10038541,Michigan,145,Saginaw,,1982-06-15 14:25:00,CST,1982-06-15 14:25:00,3,0,0,0,2.5M,0,,F2,Unknown,19.0,300,,,,,43.32,-84.3,43.42,-83.97,,,MI,1982-06-15 15:25:00,1982-06-15 15:25:00,True,True
,9990407,Arkansas,119,Pulaski,,1982-12-02 15:00:00,CST,1982-12-02 15:00:00,25,0,1,0,25M,0,,F3,Unknown,14.0,233,,,,,34.63,-92.43,34.85,-92.27,,,AR,1982-12-02 15:00:00,1982-12-02 15:00:00,False,False
,10030241,Kentucky,197,Powell,,1982-03-16 12:52:00,CST,1982-03-16 12:52:00,1,0,0,0,250K,0,,F2,Unknown,4.0,400,,,,,37.88,-84.02,37.88,-83.95,,,KY,1982-03-16 12:52:00,1982-03-16 12:52:00,False,False
,9989786,Arkansas,147,Woodruff,,1982-12-24 18:25:00,CST,1982-12-24 18:25:00,0,0,0,0,250K,0,,F2,Unknown,15.0,200,,,,,35.17,-91.25,35.37,-91.08,,,AR,1982-12-24 18:25:00,1982-12-24 18:25:00,False,False
,10128752,Texas,147,Fannin,,1982-04-02 15:25:00,CST,1982-04-02 15:25:00,0,0,0,0,0K,0,,F2,Unknown,1.0,50,,,,,33.65,-96.17,,,,,TX,1982-04-02 15:25:00,1982-04-02 15:25:00,False,False
,10131379,Texas,65,Carson,,1982-05-19 16:58:00,CST,1982-05-19 16:58:00,0,0,0,0,.03K,0,,F0,Unknown,0.5,50,,,,,35.57,-101.18,,,,,TX,1982-05-19 17:58:00,1982-05-19 17:58:00,True,True
,9978533,Alabama,97,Mobile,,1982-04-25 05:25:00,CST,1982-04-25 05:25:00,0,0,0,0,2.5K,0,,F1,Unknown,1.0,50,,,,,30.25,-88.12,,,,,AL,1982-04-25 06:25:00,1982-04-25 06:25:00,True,True
,9978534,Alabama,3,Baldwin,,1982-04-25 05:30:00,CST,1982-04-25 05:30:00,0,0,0,0,25K,0,,F1,Unknown,1.0,77,,,,,30.42,-87.6,,,,,AL,1982-04-25 06:30:00,1982-04-25 06:30:00,True,True
,9978538,Alabama,75,Lamar,,1982-04-26 13:25:00,CST,1982-04-26 13:25:00,0,0,0,0,250K,0,,F3,Unknown,3.0,200,,,,,33.93,-88.0,33.95,-87.95,,,AL,1982-04-26 14:25:00,1982-04-26 14:25:00,True,True
,9978539,Alabama,93,Marion,,1982-04-26 13:31:00,CST,1982-04-26 13:31:00,0,0,0,0,250K,0,,F3,Unknown,9.0,200,,,,,33.95,-87.95,33.95,-87.8,,,AL,1982-04-26 14:31:00,1982-04-26 14:31:00,True,True
,9978548,Alabama,1,Autauga,,1982-04-26 15:10:00,CST,1982-04-26 15:10:00,0,0,0,0,250K,0,,F1,Unknown,7.0,200,,,,,32.55,-86.52,32.57,-86.4,,,AL,1982-04-26 16:10:00,1982-04-26 16:10:00,True,True
