episode_id,event_id,state,county_fips,county_name,wfo,begin_date_time,county_timezone,end_date_time,injuries_direct,injuries_indirect,deaths_direct,deaths_indirect,property_damage,crop_damage,source,tornado_rating,max_windspeed,tornado_length,tornado_max_width,other_wfos,other_states,other_counties_fips,other_counties_names,begin_latitude,begin_longitude,end_latitude,end_longitude,episode_narrative,event_narrative,state_code,begin_date_time_corrected,end_date_time_corrected,begin_time_adjusted,end_time_adjusted
,9986350,Colorado,123,Weld,,1976-05-29 15:30:00,CST,1976-05-29 15:30:00,0,0,0,0,0K,0,,F0,Unknown,0.0,33,,,,,40.58,-104.53,,,,,CO,1976-05-29 16:30:00,1976-05-29 16:30:00,True,True
,9986351,Colorado,123,Weld,,1976-05-29 15:45:00,CST,1976-05-29 15:45:00,0,0,0,0,0K,0,,F0,Unknown,0.0,33,,,,,40.62,-104.0,,,,,CO,1976-05-29 16:45:00,1976-05-29 16:45:00,True,True
,9986352,Colorado,75,Logan,,1976-05-29 16:00:00,CST,1976-05-29 16:00:00,0,0,0,0,0K,0,,F0,Unknown,0.0,33,,,,,40.63,-103.7,,,,,CO,1976-05-29 17:00:00,1976-05-29 17:00:00,True,True
,9986353,Colorado,123,Weld,,1976-05-29 16:17:00,CST,1976-05-29 16:17:00,0,0,0,0,0K,0,,F0,Unknown,0.1,20,,,,,40.63,-104.32,,,,,CO,1976-05-29 17:17:00,1976-05-29 17:17:00,True,True
,9986354,Colorado,99,Prowers,,1976-05-29 16:20:00,CST,1976-05-29 16:20:00,0,0,0,0,0K,0,,F0,Unknown,0.1,20,,,,,38.27,-102.08,,,,,CO,1976-05-29 17:20:00,1976-05-29 17:20:00,True,True
,9986355,Colorado,61,Kiowa,,1976-05-29 16:20:00,CST,1976-05-29 16:20:00,0,0,0,0,0K,0,,F0,Unknown,0.0,33,,,,,38.35,-102.08,,,,,CO,1976-05-29 17:20:00,1976-05-29 17:20:00,True,True
,9986356,Colorado,75,Logan,,1976-05-29 16:30:00,CST,1976-05-29 16:30:00,0,0,0,0,0K,0,,F0,Unknown,0.0,33,,,,,40.63,-103.45,,,,,CO,1976-05-29 17:30:00,1976-05-29 17:30:00,True,True
,9986357,Colorado,1,Adams,,1976-05-30 13:40:00,CST,1976-05-30 13:40:00,0,0,0,0,250K,0,,F2,Unknown,5.4,67,,,,,39.8,-104.88,39.83,-104.78,,,CO,1976-05-30 14:40:00,1976-05-30 14:40:00,True,True
,9986358,Colorado,123,Weld,,1976-06-04 15:30:00,CST,1976-06-04 15:30:00,0,0,0,0,0K,0,,F1,Unknown,0.5,150,,,,,40.2,-104.82,,,,,CO,1976-06-04 16:30:00,1976-06-04 16:30:00,True,True
,9986359,Colorado,123,Weld,,1976-06-04 15:30:00,CST,1976-06-04 15:30:00,0,0,0,0,0K,0,,F1,Unknown,0.5,150,,,,,40.17,-104.9,,,,,CO,1976-06-04 16:30:00,1976-06-04 16:30:00,True,True
,9986360,Colorado,123,Weld,,1976-06-04 15:30:00,CST,1976-06-04 15:30:00,0,0,0,0,0K,0,,F1,Unknown,0.5,150,,,,,40.23,-104.82,,,,,CO,1976-06-04 16:30:00,1976-06-04 16:30:00,True,True
,9986361,Colorado,123,Weld,,1976-06-04 15:30:00,CST,1976-06-04 15:30:00,0,0,0,0,25K,0,,F2,Unknown,1.5,200,,,,,40.22,-104.82,,,,,CO,1976-06-04 16:30:00,1976-06-04 16:30:00,True,True
,9986362,Colorado,123,Weld,,1976-06-04 15:35:00,CST,1976-06-04 15:35:00,0,0,0,0,0K,0,,F1,Unknown,0.5,150,,,,,40.08,-105.0,,,,,CO,1976-06-04 16:35:00,1976-06-04 16:35:00,True,True
,9986363,Colorado,1,Adams,,1976-06-04 15:45:00,CST,1976-06-04 15:45:00,0,0,0,0,0K,0,,F0,Unknown,0.1,20,,,,,39.98,-104.93,,,,,CO,1976-06-04 16:45:00,1976-06-04 16:45:00,True,True
,9986364,Colorado,123,Weld,,1976-06-04 15:45:00,CST,1976-06-04 15:45:00,0,0,0,0,2.5K,0,,F1,Unknown,0.5,150,,,,,40.42,-104.77,,,,,CO,1976-06-04 16:45:00,1976-06-04 16:45:00,True,True
,9986365,Colorado,1,Adams,,1976-06-04 16:05:00,CST,1976-06-04 16:05:00,0,0,0,0,0K,0,,F0,Unknown,0.1,20,,,,,39.83,-105.05,,,,,CO,1976-06-04 17:05:00,1976-06-04 17:05:00,True,True
,9986366,Colorado,123,Weld,,1976-06-04 16:10:00,CST,1976-06-04 16:10:00,0,0,0,0,0K,0,,F0,Unknown,0.2,100,,,,,40.38,-104.38,,,,,CO,1976-06-04 17:10:00,1976-06-04 17:10:00,True,True
,9986367,Colorado,123,Weld,,1976-06-04 16:10:00,CST,1976-06-04 16:10:00,0,0,0,0,0K,0,,F0,Unknown,0.2,100,,,,,40.35,-104.7,,,,,CO,1976-06-04 17:10:00,1976-06-04 17:10:00,True,True
,9986368,Colorado,69,Larimer,,1976-06-04 16:30:00,CST,1976-06-04 16:30:00,0,0,0,0,0K,0,,F2,Unknown,0.5,300,,,,,40.58,-105.08,,,,,CO,1976-06-04 17:30:00,1976-06-04 17:30:00,True,True
,9986369,Colorado,1,Adams,,1976-06-04 17:22:00,CST,1976-06-04 17:22:00,0,0,0,0,0K,0,,F0,Unknown,0.1,20,,,,,40.0,-105.08,,,,,CO,1976-06-04 18:22:00,1976-06-04 18:22:00,True,True
,9986370,Colorado,87,Morgan,,1976-06-04 19:00:00,CST,1976-06-04 19:00:00,0,0,0,0,0K,0,,F1,Unknown,0.1,70,,,,,40.25,-103.8,,,,,CO,1976-06-04 20:00:00,1976-06-04 20:00:00,True,True
,9986379,Colorado,123,Weld,,1976-07-04 19:25:00,CST,1976-07-04 19:25:00,0,0,0,0,25K,0,,F1,Unknown,0.3,150,,,,,40.08,-104.55,,,,,CO,1976-07-04 20:25:00,1976-07-04 20:25:00,True,True
,9978414,Alabama,73,Jefferson,,1976-01-13 19:05:00,CST,1976-01-13 19:05:00,1,0,0,0,250K,0,,F2,Unknown,0.3,50,,,,,33.52,-86.82,,,,,AL,1976-01-13 19:05:00,1976-01-13 19:05:00,False,False
,10111574,South Carolina,75,Orangeburg,,1976-05-15 00:20:00,CST,1976-05-15 00:20:00,3,0,0,0,250K,0,,F2,Unknown,3.8,40,,,,,33.47,-81.03,33.52,-81.05,,,SC,1976-05-15 01:20:00,1976-05-15 01:20:00,True,True
,10001747,Florida,33,Escambia,,1976-01-07 12:00:00,CST,1976-01-07 12:00:00,0,0,0,0,0K,0,,F0,Unknown,0.1,10,,,,,30.38,-87.35,,,,,FL,1976-01-07 12:00:00,1976-01-07 12:00:00,False,False
,10019186,Indiana,91,La Porte,,1976-03-12 14:15:00,CST,1976-03-12 14:15:00,7,0,0,0,250K,0,,F3,Unknown,12.6,200,,,,,41.68,-86.93,41.62,-86.7,,,IN,1976-03-12 14:15:00,1976-03-12 14:15:00,False,False
,10128022,Texas,97,Cooke,,1976-10-24 14:00:00,CST,1976-10-24 14:00:00,0,0,0,0,0K,0,,F0,Unknown,1.0,33,,,,,33.57,-97.22,,,,,TX,1976-10-24 15:00:00,1976-10-24 15:00:00,True,True
,10128432,Texas,497,Wise,,1976-04-15 20:15:00,CST,1976-04-15 20:15:00,0,0,0,0,25K,0,,F1,Unknown,8.9,50,,,,,33.22,-97.75,33.3,-97.63,,,TX,1976-04-15 20:15:00,1976-04-15 20:15:00,False,False
,10129511,Texas,439,Tarrant,,1976-04-19 13:20:00,CST,1976-04-19 13:20:00,0,0,0,0,25K,0,,F1,Unknown,1.2,50,,,,,32.85,-97.53,,,,,TX,1976-04-19 13:20:00,1976-04-19 13:20:00,False,False
,10132311,Texas,381,Randall,,1976-06-21 18:18:00,CST,1976-06-21 18:18:00,0,0,0,0,0K,0,,F0,Unknown,0.3,10,,,,,35.22,-101.72,,,,,TX,1976-06-21 19:18:00,1976-06-21 19:18:00,True,True
,10129080,Texas,121,Denton,,1976-05-26 13:25:00,CST,1976-05-26 13:25:00,0,0,0,0,0K,0,,F1,Unknown,0.1,33,,,,,33.42,-97.35,,,,,TX,1976-05-26 14:25:00,1976-05-26 14:25:00,True,True
,10129566,Texas,399,Runnels,,1976-04-28 16:58:00,CST,1976-04-28 16:58:00,0,0,0,0,0K,0,,F0,Unknown,0.1,27,,,,,31.72,-100.0,,,,,TX,1976-04-28 17:58:00,1976-04-28 17:58:00,True,True
,10128496,Texas,253,Jones,,1976-05-25 14:53:00,CST,1976-05-25 14:53:00,0,0,0,0,2.5M,0,,F3,Unknown,5.2,300,,,,,32.57,-99.68,32.5,-99.65,,,TX,1976-05-25 15:53:00,1976-05-25 15:53:00,True,True
,9976434,Alabama,95,Marshall,,1976-07-31 12:00:00,CST,1976-07-31 12:00:00,0,0,0,0,250K,0,,F1,Unknown,0.1,50,,,,,34.4,-86.2,,,,,AL,1976-07-31 13:00:00,1976-07-31 13:00:00,True,True
